Order Month*:  ;;||;Order Summary ;;;;
Feb 2015 ;;||;;;;;
 ;;||;;;;;
Order Month Volume:;1,463.70;||;SKU ;36;38;1154;24
Current Discount Rate:;50%;||;; ; ; ; 
 ;;||;Product Name ;Niteworks?-Original 10.6 oz.  ;Niteworks?-Orange-Mango 10.6 OZ  ;"21-Day Herbal Balancing Program-42 Tablets for AM; 42 Tablets for PM  ";Male Factor 1000?-60 Capsules  
;;||;; ; ; ; 
;;||;Qty ;1;1;5;6
Order Total  ;;||;; ; ; ; 
 ;;||;Retail;$102.25;$102.25;$178.00;$293.70
Volume Points:;579.40;||;Price ; ; ; ; 
Product Earn Base: ;$643.80;||;;;;;
Retail Price:;$676.20;||;Volume;89.95  ;89.95  ;153.50  ;246.00  
;;||;Points ;;;;
;;||;; ; ; ; 
;;||;Earn Base ;$97.35 ;$97.35 ;$169.50 ;$279.60 
;;||;;;;;
Discounted Retail: ;$354.29;||;Your;$53.57  ;$53.57  ;$93.25  ;$153.90
;;;Price ;;;;
